Learning Rate,Epochs,Batch Size,Accuracy
0.0001,100,16,53.85
0.0001,100,32,53.30
0.0001,100,64,46.43
0.0001,100,128,46.84
0.0001,200,16,53.85
0.0001,200,32,46.02
0.0001,200,64,45.74
0.0001,200,128,52.34
0.0001,500,16,46.15
0.0001,500,32,47.80
0.0001,500,64,52.47
0.0001,500,128,46.70
0.0001,1000,16,47.80
0.0001,1000,32,49.45
0.0001,1000,64,47.39
0.0001,1000,128,54.12
0.001,100,16,54.12
0.001,100,32,46.15
0.001,100,64,52.47
0.001,100,128,48.08
0.001,200,16,51.37
0.001,200,32,51.92
0.001,200,64,53.43
0.001,200,128,46.70
0.001,500,16,52.47
0.001,500,32,45.88
0.001,500,64,53.57
0.001,500,128,47.66
0.001,1000,16,48.90
0.001,1000,32,45.60
0.001,1000,64,50.82
0.001,1000,128,48.08
0.01,100,16,46.29
0.01,100,32,49.18
0.01,100,64,48.49
0.01,100,128,53.16
0.01,200,16,48.21
0.01,200,32,52.88
0.01,200,64,52.61
0.01,200,128,46.98
0.01,500,16,49.59
0.01,500,32,53.71
0.01,500,64,54.12
0.01,500,128,47.66
0.01,1000,16,52.20
0.01,1000,32,52.75
0.01,1000,64,52.06
0.01,1000,128,54.12
0.1,100,16,53.57
0.1,100,32,54.12
0.1,100,64,53.43
0.1,100,128,51.92
0.1,200,16,54.12
0.1,200,32,54.12
0.1,200,64,54.12
0.1,200,128,53.85
0.1,500,16,54.12
0.1,500,32,53.30
0.1,500,64,53.85
0.1,500,128,54.12
0.1,1000,16,54.12
0.1,1000,32,54.12
0.1,1000,64,53.71
0.1,1000,128,54.26
